,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
26921,Isoc1,0.7290879550029727,0.8621196960223344,0.23061313908888248,0.10132159092484067,False,False
18716,Srprb,0.7291424404998622,0.8621196960223344,0.14230416469855373,0.277532998029356,False,False
14127,Zbtb2,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
1697,Rcor3,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
1819,Stam,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
3781,Snx21,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
4919,Tceal1,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
11586,Asun,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
5098,Ctps2,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
15602,Rnf170,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
21109,Fam208b,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
9247,Glmn,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
27692,Lcor,0.7299505140863176,0.8621615758495242,-0.2839601283313359,0.05726872607737386,False,False
9459,Hspb8,0.7299544078347695,0.8621615758495242,0.26036031350742544,0.1321585897175751,False,False
23597,Slc48a1,0.730357344624197,0.8625610231742024,0.14230416469855373,0.277532998029356,False,False
7310,Oma1,0.7309923356729855,0.8632344343353293,-0.2615922144077653,0.09251101511953161,False,False
10258,Nrf1,0.731362502255422,0.8635184879075671,0.18997114667914858,0.12775330504788177,False,False
24927,Crebrf,0.731362502255422,0.8635184879075671,0.18997114667914858,0.12775330504788177,False,False
16075,Dhps,0.7315370625682485,0.8635418049861999,-0.19649711561997724,0.11894273416586384,False,False
2883,B230118H07Rik,0.7315370680801174,0.8635418049861999,-0.19649711561997724,0.11894273416586384,False,False
4502,BC023829,0.7316323727707625,0.8635418049861999,0.26036042867437353,0.08810573140167455,False,False
19490,Rufy1,0.7316415142748799,0.8635418049861999,0.17547161003423528,0.14096916457104788,False,False
18874,Pfkfb4,0.7318503841122643,0.8637118139363714,0.22239227085162744,0.15859030397190396,False,False
7758,Srsf4,0.7328723769282006,0.8648413355017198,-0.13606216309116498,0.2687224059115423,False,False
25697,Galm,0.7335353444807053,0.8654703747848773,0.23061313908888248,0.10132159092484067,False,False
11908,Ppp5c,0.7335353503017965,0.8654703747848773,0.23061313908888248,0.10132159092484067,False,False
10727,Vamp5,0.7336479590890275,0.8655265880583648,-0.09809461761330238,0.6211452274070437,False,False
17787,Ilf3,0.7337169990077435,0.8655313952346525,-0.15467743888279104,0.19383259478644654,False,False
18752,Wdr82,0.7338182771688744,0.865565384156957,-0.22506629885512114,0.10572687464269773,False,False
21545,Ecm2,0.7338757471618245,0.865565384156957,0.453005420241559,0.048458150304886746,False,False
4603,Pls3,0.7342610013634954,0.8656366092527962,-0.37706954562151335,0.044052865290563015,False,False
8151,Clstn1,0.7342610013634954,0.8656366092527962,-0.37706954562151335,0.044052865290563015,False,False
23506,Trmu,0.7342610013634954,0.8656366092527962,-0.37706954562151335,0.044052865290563015,False,False
20499,Thra,0.7342610013634954,0.8656366092527962,-0.37706954562151335,0.044052865290563015,False,False
18460,Ccpg1os,0.7342610013634954,0.8656366092527962,-0.37706954562151335,0.044052865290563015,False,False
4575,Gdi1,0.734343384139452,0.8656571320907732,0.10025115807641105,0.4625549586859044,False,False
27903,Zfp950,0.7345116839634571,0.8657789228917224,0.23061313908888248,0.10132159092484067,False,False
118,Sdhaf4,0.7347470043324407,0.8659796831848113,0.2078931033451048,0.1145374504480068,False,False
21506,Dtnbp1,0.7350124085387755,0.8662158619161526,-0.18442466250321848,0.1674008656309565,False,False
7141,Ttc39b,0.7353648279276828,0.8665545376331609,-0.09633420983566117,0.5594712091437521,False,False
2561,Timm10,0.7362251824666743,0.8674356827141853,0.18997114667914858,0.12775330504788177,False,False
12640,Pnkp,0.7362950828214534,0.8674356827141853,0.17547146345811412,0.1409691547244656,False,False
25122,Tap1,0.73630789880768,0.8674356827141853,0.13750295047439784,0.29074886034238706,False,False
5762,Ubap2l,0.7369075029655423,0.8680653105225393,0.10835653868343167,0.5462554126058906,False,False
8267,Ccnl2,0.737311430178626,0.8684643430527658,-0.07221625276259681,0.8546252849343591,False,False
7643,Stk40,0.738007954837195,0.869207919227011,0.13750296480622817,0.2907488305400647,False,False
8749,Med28,0.7383107621979454,0.8694261169865848,0.07075663272389965,1.1674004257513038,False,False
9773,Ywhag,0.7383237324616243,0.8694261169865848,0.11596963973889221,0.37004393365414656,False,False
19059,Tmem42,0.7386922028507641,0.8695527423914032,0.23061313908888248,0.10132159092484067,False,False
14751,Klf16,0.7386923263379329,0.8695527423914032,0.23061302085080873,0.10132159345213013,False,False
6673,Nbn,0.7386923263379329,0.8695527423914032,0.23061302085080873,0.10132159345213013,False,False
22937,Ptger4,0.7386923319361932,0.8695527423914032,0.23061302085080873,0.10132159345213013,False,False
12239,Akt2,0.7389332659182619,0.8697595107190568,-0.15467756575842448,0.19383257003870308,False,False
4978,Alg13,0.7396002077020727,0.8698793666888432,-0.28396022910241464,0.057268723615728295,False,False
19030,Vipr1,0.7396002077020727,0.8698793666888432,-0.28396022910241464,0.057268723615728295,False,False
17668,Ccdc82,0.7396002077020727,0.8698793666888432,-0.28396022910241464,0.057268723615728295,False,False
1433,Vangl2,0.7396002077020727,0.8698793666888432,-0.28396022910241464,0.057268723615728295,False,False
19130,Nipsnap1,0.7396002879808973,0.8698793666888432,-0.2839601283313359,0.05726872607737386,False,False
6084,Trim33,0.7396002879808973,0.8698793666888432,-0.2839601283313359,0.05726872607737386,False,False
22923,AW549877,0.7396002879808973,0.8698793666888432,-0.2839601283313359,0.05726872607737386,False,False
19107,Gal3st1,0.7396002879808973,0.8698793666888432,-0.2839601283313359,0.05726872607737386,False,False
